STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
24,027,605503,6262,39.224864,-76.882618
24,027,605504,2737,39.195676,-76.92843
24,027,605505,6169,39.204822,-76.921705
24,027,605601,6075,39.206387,-76.892945
24,027,605602,7610,39.200123,-76.876209
24,027,606601,2875,39.224606,-76.832336
24,027,606603,7696,39.20867,-76.845055
24,027,606604,4037,39.203444,-76.82732
24,027,606606,4744,39.209261,-76.810427
24,027,606607,4530,39.219363,-76.817412
24,027,606701,2603,39.186025,-76.860386
24,027,606704,7072,39.190569000000004,-76.841586
24,027,606705,2011,39.180733,-76.837343
24,027,606706,4798,39.195878,-76.803148
24,027,606707,3755,39.169988,-76.82708
24,027,606803,5523,39.168079,-76.86431
24,027,606804,3202,39.161579,-76.845778
24,027,606805,4145,39.135094,-76.887604
24,027,606806,6441,39.147108,-76.873027
24,027,606901,5549,39.154485,-76.808099
24,027,606904,3977,39.124787,-76.833994
24,027,606905,6644,39.137746,-76.829221
24,027,606906,5615,39.116818,-76.852952
24,027,606907,5503,39.120042,-76.842725
24,029,950100,3838,39.312916,-75.84855
24,029,950200,4844,39.305286,-76.057623
24,029,950300,5775,39.219977,-76.070379
24,029,950400,3117,39.20735,-76.153237
24,029,950500,2623,39.134588,-76.228147
24,029,990000,0,39.197858,-76.25958
24,031,700101,4321,39.214742,-77.174482
24,031,700103,5864,39.196608,-77.129219
